month,energy,water,working_day,codes,code,gfa,EUI,WEI (Area),WEI (People),carbon_energy,carbon_water,carbon_index
1/1/2018,679431.21,4046.32,22,SGX C1 Energy & Water,SGX1,34658.327,19.60369322,116.7488552,47.63146198,286040.5394,5260.216,21.7665893
1/2/2018,704826.52,2860.07,18,SGX C1 Energy & Water,SGX1,34658.327,20.33642651,82.5218713,41.14911739,296731.9649,3718.091,22.45024378
1/3/2018,741746.04,2508.02,21,SGX C1 Energy & Water,SGX1,34658.327,21.40166893,72.36413922,30.9291559,312275.0828,3260.426,23.57745973
1/4/2018,660587.34,4128.86,21,SGX C1 Energy & Water,SGX1,34658.327,19.05998925,119.1303896,50.91751846,278107.2701,5367.518,21.18181699
1/5/2018,655369.75,3310.68,21,SGX C1 Energy & Water,SGX1,34658.327,18.90944563,95.52336441,40.82764007,275910.6648,4303.884,20.93820522
1/6/2018,696392.1,3618.55,20,SGX C1 Energy & Water,SGX1,34658.327,20.09306739,104.4063668,46.8555402,293181.0741,4704.115,22.25859168
1/7/2018,690216.11,2625.54,22,SGX C1 Energy & Water,SGX1,34658.327,19.91487096,75.75495493,30.90667784,290580.9823,3413.202,21.96784783
1/8/2018,710065.11,3844.8,21,SGX C1 Energy & Water,SGX1,34658.327,20.48757604,110.9343795,47.41446185,298937.4113,4998.24,22.71069461
1/9/2018,719489.06,3487.02,20,SGX C1 Energy & Water,SGX1,34658.327,20.75948617,100.6113192,45.1523969,302904.8943,4533.126,22.97239879
1/10/2018,741567.44,2635.02,23,SGX C1 Energy & Water,SGX1,34658.327,21.39651576,76.02848227,29.66965162,312199.8922,3425.526,23.58417795
1/11/2018,718889.37,4115.79,21,SGX C1 Energy & Water,SGX1,34658.327,20.74218326,118.7532797,50.7563379,302652.4248,5350.527,23.01461163
1/12/2018,742230.48,3791.37,20,SGX C1 Energy & Water,SGX1,34658.327,21.41564652,109.3927586,49.09333558,312479.0321,4928.781,23.71736214
1/1/2019,780921.59,4491.89,22,SGX C1 Energy & Water,SGX1,34658.327,22.53200479,129.6049287,52.87651193,319396.9303,5839.457,24.30232925
1/2/2019,796230.88,5272.76,18,SGX C1 Energy & Water,SGX1,34658.327,22.97372519,152.135445,75.86157689,325658.4299,6854.588,24.846054
1/3/2019,655827.03,4879.95,21,SGX C1 Energy & Water,SGX1,34658.327,18.92263957,140.8016607,60.18003618,268233.2553,6343.935,20.51697025
1/4/2019,673469.21,5746.49,21,SGX C1 Energy & Water,SGX1,34658.327,19.43167107,165.8040216,70.86629496,275448.9069,7470.437,21.14031306
1/5/2019,739273.1,5250.92,21,SGX C1 Energy & Water,SGX1,34658.327,21.33031695,151.5052934,64.75487568,302362.6979,6826.196,23.10322766
1/6/2019,777971.86,5412.46,19,SGX C1 Energy & Water,SGX1,34658.327,22.44689595,156.1662223,73.77300362,318190.4907,7036.198,24.30160455
1/7/2019,679338.95,3576.58,23,SGX C1 Energy & Water,SGX1,34658.327,19.60103123,103.1954024,40.27137653,277849.6306,4649.554,21.10891789
1/8/2019,814263.6,6139.13,20,SGX C1 Energy & Water,SGX1,34658.327,23.49402497,177.1329008,79.49378965,333033.8124,7980.869,25.48131571
1/9/2019,767147.14,5443.21,21,SGX C1 Energy & Water,SGX1,34658.327,22.13456928,157.053455,67.12621538,313763.1803,7076.173,23.97377385
1/10/2019,755917.21,6406.35,22,SGX C1 Energy & Water,SGX1,34658.327,21.81055104,184.8430249,75.41267534,309170.1389,8328.255,23.72413052
1/11/2019,664748.48,6057.62,21,SGX C1 Energy & Water,SGX1,34658.327,19.18005102,174.7810851,74.70318154,271882.1283,7874.906,20.90401881
1/12/2019,722899.56,4422.03,21,SGX C1 Energy & Water,SGX1,34658.327,20.85788965,127.5892515,54.5329205,295665.92,5748.639,22.52231343
